Positive,Negative
The same results were  obtained  with  both  rat  (Fig.2f)  and  human  (Fig.2g)  miR-1 and  GJA1/KCNJ2  3'-UTRs,MicroRNAs have been implicated as having important roles in stem cell biology.
"We inserted the 3'-UTRs of GJA1 and KCNJ2 into the 3'-UTR of a luciferase reporter plasmid containing a constitutively active promoter,to determine the effects of miR-1 on reporter expression.","Northern blotting further confirmed their elevated expression in three important target tissues of insulin action: muscle, fat, and liver of diabetic rats."
"Cotransfection of miR-1 with the plasmid (Fig.2f,g) into HEK293 cells consistently produced less luciferase activity than transfection of the plasmid alone, whereas the mutant miR-1 did not reduce luciferase activity.","Knockdown of hsa_circ_0088732 induced glioma cell apoptosis and inhibited glioma cell migration, invasion, and epithelial-mesenchymal transition (EMT)."
"On the other hand, mutant miR-1 suppressed translation of luciferase transcripts containing the complementary mutant GJA1 or KCNJ2 3'-UTR.","In addition, the expression levels of four miRNAs were inversely correlated with the degree of HCC differentiation (P<0.01)."
The same results were obtained with both rat (Fig.2f) and human (Fig.2g) miR-1 and GJA1/KCNJ2 3'-UTRs.,"Interestingly, the kidneys of microRNA-deficient animals were small due to a reduced number of nephrons and showed massive hydronephrosis due to ureteropelvic junction obstruction."
"we  cloned  the  3-UTR  of  TPM1  into  a  luciferase reporter and found that although mir-21 down-regulated the luciferase  activity,  anti-mir-21  up-regulated  it",MiR27b and CYP1B1 expressions were evaluated in HepG2 cells by quantitative PCR.
First evidence for an association of a functional variant in the microRNA-510 target site of the serotonin receptor-type 3E gene with diarrhea predominant irritable bowel syndrome,The siRNAs targeted FOXO1 and miR-27a inhibitor were transfected into RCC cells.
"miR-7 potently suppressed epidermal growth factor receptor expression, and furthermore it  independently  inhibited  the  Akt  pathway  via  targeting upstream regulators.",The dysregulated PBX-1/VCP axis leads to increased tumorigenicity.
"Of several genes downregulated more than 2-fold by miR-221, messenger RNA levels of HOXB5 were significantly downregulated by miR-221.",Bone Joint Res 2017;6:-203.
"Also, in vitro or in vivo Gluc activities using CMV/Gluc 3 UTR of HOXB5 systems were downregulated dose dependently by endogenous or exogenous miR-221.",We demonstrated that let-7a could induce suppression of glioma in vivo by generating a glioma xenograft model.
"ERK2 Is Down-regulated by miR-199a*—To examine the effects of MET down-regulation on signaling pathways regulated by MET, we performed Western analysis to determine changes in the amount and phosphorylation of AKT and ERK1/2, which are two major effector molecules downstream of MET.",Traumatic brain injury (TBI) initiates many different signaling cascades throughout the brain that impact both pathophysiological and neuroprotective processes.
"As depicted in Fig.6A, the Akt level was slightly decreased in cells transfected with miR-199a.","Functional analysis of miR-200c overexpression was investigated in CRC cell lines, and cells were analysed for proliferation, invasion and migration."
"Interestingly, the level of ERK2 was significantly decreased in cells transfected with miR-199a*, but ERK1 levels were unaffected, and levels of MAPKs SAPK/JNK and p38 were also unaffected.","Importantly, in these patients, miR-486-3p expression correlates with increased HbF synthesis."
"By employing microarray and immunoblotting analyses, we identified the MET proto-oncogene as a target of miR-199a*.","In UCC, microRNA alterations occur in a tumor phenotype-specific manner and can predict disease progression."
Studies with a luciferase reporter fused to the 3-untranslated region of the MET gene demonstrated miR-199a*-mediated down-regulation of luciferase activity through a binding site of miR-199a*.,"Transcriptome sequencing, qPCR and Western blotting showed that miR-301a induced epithelial-mesenchymal transition (EMT) in prostate cancer cells through a pathway initiated by p63 inhibition."
We provide evidence of a  cis-regulatory  role  for  miR-320  in  transcriptional  silencing  of POLR3D expression.,Mutation of the seed sequence in the RTA 3'UTR abolished downregulation of RTA by hsa-miR-1258.
"In this study, we show for the first time that miR-206 expression is markedly  decreased  in  ERA-positive  human  breast  cancer tissues  assayed  by  quantitative  reverse  transcription-PCR analysis.","Interestingly, PDEF mRNA has been found to be retained or even overexpressed in the absence of protein; however, the mechanisms for this remain to be elucidated."
These data suggest that miR-155 may play an important role in TGF--induced EMT and cell migration and invasion by targeting RhoA and indicate that it is a potential therapeutic target for breast cancer intervention.,"Hsa_circ_0080229 (circ_0080229) has been identified as a circRNA arising from an EGFR gene in gliomas; however, little is known about its molecular mechanism to date."
"Here, we found that cytochrome P450 (CYP), a superfamily of drug-metabolizing enzymes, is a target of miRNA.","It is largely unknown whether the blockade of miR-21, a microRNA that is upregulated in glioma cells, could amplify the effects of nimotuzumab."
"The decrease in	miR15a expression was associated with upregulation of its target, the cell-cycle regulator cell	division cycle 25A(Cdc25A).","We previously observed that overexpression of the products of the mirn23a gene (microRNA-23a, -24-2, and 27a) in hematopoietic progenitors increased myelopoiesis with a reciprocal decrease in B lymphopoiesis, both in vivo and in vitro."
"Overexpression of miR15a in PCK-CCL cells decreased Cdc25A levels, inhibited cell proliferation,	and reduced cyst growth.","It is known that the expression of DIO1, a gene contributing to triiodothyronine (T3) signalling, is regulated by miR-224."
"We characterize two representative miRNAs and show that miR-133 directly targets Runx2, an early BMP response gene essential for bone formation, and miR-135 targets Smad5, a key transducer of the BMP2 osteogenic signal, controlled through their 3UTR sequences.",Our study highlighted a role for the CRNDE/miR-183/CCNB1-axis in CC and offered a promising diagnostic strategy for CC treatment.
"The result showed that EIF2C3 and CAMTA1, genes related to miRNAs processing or transcription regulation, were proved to be real targets for hsa-miR-129.","Multiple oncogenes and signaling pathways have been confirmed to participate in the stemness maintenance and tumorigenicity of CSCs, including sex-determining region Y-box 2 (SOX2) and signal transduction and activation of transcription 3 (STAT3), which may provide novel therapeutic targets on pancreatic cancer."
"And ABCG2, involved in stemness maintaining, a real target for hsa-miR-520h.","HMGB3-TV1 was highly expressed in the mammary gland tissues, whereas HMGB3-TV2 was expressed primarily in liver."
We demonstrate that miR-9 interacts with the 3 untranslated region of PMP22 and downregulates its expression.,"We observed increased numbers of EVs, mostly exosomes, secreted by primary human monocytes and THP-1 monocytic cells in the presence of alcohol in a concentration- and time-dependent manner."
"Notably, Rluc reporter expression increased (>25%) in the presence of the MREs from the RASA1 and PDCD4 gene.",Imatinib mesylate resistance occurs in some patients with gastrointestinal stromal tumors (GISTs) during the course of treatment.
"Thus, these genes were selected for further characterization by cloning the full-length 3'-UTRs of the RASA1 and PDCD4 genes (Table 1) downstream of the reporter and performing a similar assay (Figure 1b).",We analyzed the cell apoptosis and cycle through flow cytometry.
Only the PDCD4 3'-UTR reporter showed upregulation when mir-21 gene expression was inhibited.,MiR-135a has been shown to play a role in Hodgkin lymphoma.
"The lack of induction of reporter activity from the native, full-length 3'-UTR of RASA1 in the presence of anti-miR-21 (Figure 1b) may indicate the putative MRE for miR-21 is inaccessible, perhaps due to folding, in the context of the full 3'-UTR compared to the short MRE (Figure 1a).",We also observed a novel post-transcriptional regulatory mechanism of TWIST1 expression mediated by miR-106b via its direct interaction with TWIST1 mRNAs at the 3'-untranslated region.
"Our  results  show  that  miR-221  and  miR-222  both  directly target the 3 untranslated regions of p27 and p57 mRNAs to reduce reporter gene expression, as well as diminish p27 and p57 protein levels.",MicroRNAs (miRNAs) are small RNA molecules of 23 nucleotides that negatively regulate protein-coding gene expression via translational suppression or mRNA degradation.
